m1_surv,m2_surv
0.27184,0.88957
0.27099,0.88957
0.27099,0.88957
0.27099,0.88957
0.27099,0.88957
0.26638,0.88957
0.26638,0.88957
0.26638,0.88957
0.26638,0.88917
0.26638,0.88917
0.26638,0.88876
0.26525,0.88876
0.26525,0.88876
0.26525,0.88836
0.26525,0.88836
0.26525,0.88836
0.26525,0.88836
0.26525,0.88836
0.26525,0.88836
0.26525,0.88836
0.26525,0.88836
0.26525,0.88836
0.26525,0.88836
0.26525,0.88795
0.26525,0.88714
0.26525,0.88714
0.26525,0.88673
0.26525,0.88673
0.26525,0.88673
0.26525,0.88673
0.26525,0.88673
0.26525,0.88673
0.26525,0.88632
0.26525,0.88632
0.26525,0.88632
0.26525,0.88632
0.26525,0.88591
0.26525,0.88591
0.26525,0.8855
0.26525,0.8855
0.26525,0.88509
0.26525,0.88509
0.26525,0.88509
0.26525,0.88427
0.26525,0.88427
0.26525,0.88427
0.26525,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88427
0.26422,0.88385
0.26422,0.88385
0.26422,0.88385
0.26422,0.88385
0.26422,0.88385
0.26422,0.88385
0.26422,0.88385
0.26422,0.88385
0.26422,0.88385
0.26422,0.88385
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.88343
0.26422,0.883
0.26422,0.883
0.26422,0.883
0.26422,0.883
0.26422,0.88258
0.26422,0.88215
0.26422,0.88215
0.26422,0.88215
0.26422,0.88215
0.26422,0.88215
0.26422,0.88215
0.26422,0.88215
0.26422,0.88215
0.26422,0.88215
0.26422,0.88215
0.26422,0.88215
0.26314,0.88215
0.26314,0.88215
0.26314,0.88215
0.26314,0.88215
0.26314,0.88215
0.26314,0.88215
0.26314,0.88215
0.26314,0.88215
0.26071,0.88171
0.26071,0.88171
0.26071,0.88171
0.26071,0.88127
0.26071,0.88127
